Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020",2019
Revenue,"2,449","2,699","2,218","1,199",680.77,561.32,Upgrade
Revenue Growth (YoY),14.26%,21.67%,85.05%,76.07%,21.28%,509.13%,Upgrade
Cost of Revenue,"2,138","2,357","2,076","1,261",749.91,553.4,Upgrade
Gross Profit,310.96,341.08,141.9,-62.35,-69.14,7.92,Upgrade
"Selling, General & Admin",241.6,236.84,177.42,153.92,60.79,34.18,Upgrade
Research & Development,83.68,66.2,66.31,60.14,23.43,11.54,Upgrade
Operating Expenses,337.5,314.46,253.56,221.17,89.33,48.73,Upgrade
Operating Income,-26.54,26.62,-111.66,-283.52,-158.47,-40.81,Upgrade
Interest Expense,-0.73,-,-,-,-,-0.13,Upgrade
Interest & Investment Income,1.12,5.68,5.39,0.33,-,-,Upgrade
Other Non Operating Income (Expenses),11.18,7.28,5.63,-4.63,-1.71,0.65,Upgrade
EBT Excluding Unusual Items,-14.97,39.57,-100.64,-287.82,-160.17,-40.29,Upgrade
Merger & Restructuring Charges,-0.61,-,-0.95,-,-,-,Upgrade
Gain (Loss) on Sale of Investments,-,-,1.32,-,-,-,Upgrade
Pretax Income,-15.58,39.57,-100.27,-287.82,-160.17,-40.29,Upgrade
Income Tax Expense,8.75,9.21,4.55,1.36,1.83,6.42,Upgrade
Earnings From Continuing Operations,-24.33,30.37,-104.82,-289.18,-162,-46.71,Upgrade
Minority Interest in Earnings,5.91,-7.65,35.2,184.69,162,46.71,Upgrade
Net Income,-18.42,22.72,-69.62,-104.49,-,-,Upgrade
Net Income to Common,-18.42,22.72,-69.62,-104.49,-,-,Upgrade
Shares Outstanding (Basic),130,126,116,70,117,117,Upgrade
Shares Outstanding (Diluted),130,184,116,70,117,117,Upgrade
Shares Change (YoY),5.40%,58.04%,67.04%,-40.50%,-,-,Upgrade
EPS (Basic),-0.14,0.18,-0.60,-1.50,-,-,Upgrade
EPS (Diluted),-0.14,0.13,-0.60,-1.50,-,-,Upgrade
Free Cash Flow,-414.05,71.57,-114.92,-290.32,-269.56,-15.8,Upgrade
Free Cash Flow Per Share,-3.19,0.39,-0.99,-4.16,-2.30,-0.14,Upgrade
Gross Margin,12.70%,12.64%,6.40%,-5.20%,-10.16%,1.41%,Upgrade
Operating Margin,-1.08%,0.99%,-5.03%,-23.65%,-23.28%,-7.27%,Upgrade
Profit Margin,-0.75%,0.84%,-3.14%,-8.72%,-,-,Upgrade
Free Cash Flow Margin,-16.91%,2.65%,-5.18%,-24.22%,-39.60%,-2.81%,Upgrade
EBITDA,-8.63,38.2,-101.8,-276.41,-153.36,-37.79,Upgrade
EBITDA Margin,-0.35%,1.42%,-4.59%,-23.06%,-22.53%,-6.73%,Upgrade
D&A For EBITDA,17.92,11.58,9.87,7.11,5.11,3.02,Upgrade
EBIT,-26.54,26.62,-111.66,-283.52,-158.47,-40.81,Upgrade
EBIT Margin,-1.08%,0.99%,-5.03%,-23.65%,-23.28%,-7.27%,Upgrade
Effective Tax Rate,-,23.26%,-,-,-,-,Upgrade
Revenue as Reported,"2,449","2,699","2,218","1,199",680.77,561.32,Upgrade
Advertising Expenses,-,3.3,1.4,1.4,-,-,Upgrade
