Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2018 - 2019
Revenue,471.79,336.89,186.37,77.06,19.14,-,Upgrade
Revenue Growth (YoY),53.66%,80.76%,141.85%,302.67%,-,-,Upgrade
Cost of Revenue,94.76,81.64,47.04,12.37,1.9,-,Upgrade
Gross Profit,377.04,255.25,139.34,64.69,17.24,-,Upgrade
"Selling, General & Admin",239.73,202.22,145.88,89.07,59.22,22.69,Upgrade
Research & Development,179.1,140.63,102.61,106.84,131.43,81.61,Upgrade
Operating Expenses,418.83,342.85,248.49,195.91,190.65,104.3,Upgrade
Operating Income,-41.79,-87.61,-109.15,-131.22,-173.41,-104.3,Upgrade
Interest Expense,-14.37,-14.31,-15.11,-15.98,-17.59,-0.34,Upgrade
Interest & Investment Income,12.51,13.79,13.74,3.86,0.37,1.56,Upgrade
Currency Exchange Gain (Loss),1,1.2,1.8,-,-,-,Upgrade
Other Non Operating Income (Expenses),1.82,0.01,-4.62,1.27,106.69,-0.19,Upgrade
EBT Excluding Unusual Items,-40.83,-86.91,-113.35,-142.07,-83.95,-103.26,Upgrade
Other Unusual Items,-,-,-49.08,-,-,-,Upgrade
Pretax Income,-40.83,-86.91,-162.42,-142.07,-83.95,-103.26,Upgrade
Income Tax Expense,0.59,1.03,0.99,-6.41,0.04,0.01,Upgrade
Net Income,-41.42,-87.94,-163.42,-135.67,-83.99,-103.27,Upgrade
Net Income to Common,-41.42,-87.94,-163.42,-135.67,-83.99,-103.27,Upgrade
Shares Outstanding (Basic),49,48,41,34,30,25,Upgrade
Shares Outstanding (Diluted),49,48,41,34,30,25,Upgrade
Shares Change (YoY),4.69%,16.23%,20.31%,12.07%,20.08%,119.84%,Upgrade
EPS (Basic),-0.84,-1.85,-4.00,-4.01,-2.77,-4.09,Upgrade
EPS (Diluted),-0.84,-1.85,-4.00,-4.02,-2.77,-4.09,Upgrade
Free Cash Flow,44.32,9.33,-71.05,-120.41,-132.78,-89.3,Upgrade
Free Cash Flow Per Share,0.90,0.20,-1.74,-3.54,-4.38,-3.54,Upgrade
Gross Margin,79.92%,75.77%,74.76%,83.94%,90.06%,-,Upgrade
Operating Margin,-8.86%,-26.00%,-58.57%,-170.28%,-906.12%,-,Upgrade
Profit Margin,-8.78%,-26.10%,-87.68%,-176.05%,-438.86%,-,Upgrade
Free Cash Flow Margin,9.39%,2.77%,-38.12%,-156.26%,-693.81%,-,Upgrade
EBITDA,-17.57,-63.98,-98.33,-127.98,-172.82,-103.99,Upgrade
EBITDA Margin,-3.72%,-18.99%,-52.76%,-166.08%,-,-,Upgrade
D&A For EBITDA,24.23,23.63,10.83,3.24,0.6,0.31,Upgrade
EBIT,-41.79,-87.61,-109.15,-131.22,-173.41,-104.3,Upgrade
EBIT Margin,-8.86%,-26.00%,-58.57%,-170.28%,-,-,Upgrade
Revenue as Reported,471.79,336.89,186.37,77.06,19.14,-,Upgrade
Advertising Expenses,-,11.5,6.3,4,9.2,-,Upgrade
