Period Ending,"Aug '25Aug 2, 2025","Feb '25Feb 1, 2025","Feb '24Feb 3, 2024","Jan '23Jan 28, 2023","Jan '22Jan 29, 2022","Jan '21Jan 30, 2021",2018 - 2020
Revenue,"5,971","5,933","6,159","6,395","6,773","5,689",Upgrade
Revenue Growth (YoY),-2.20%,-3.67%,-3.69%,-5.58%,19.05%,17.79%,Upgrade
Cost of Revenue,"3,939","3,922","4,049","4,183","4,422","3,955",Upgrade
Gross Profit,"2,033","2,011","2,110","2,213","2,351","1,734",Upgrade
"Selling, General & Admin","1,552","1,480","1,432","1,366","1,322","1,193",Upgrade
Other Operating Expenses,-,-,-,-,15.42,-,Upgrade
Operating Expenses,"1,552","1,480","1,432","1,366","1,443","1,299",Upgrade
Operating Income,480.72,531.54,677.86,846.55,907.95,435.19,Upgrade
Interest Expense,-36.39,-37.32,-47.58,-48.4,-48.99,-87.84,Upgrade
Other Non Operating Income (Expenses),15.46,21.91,16.98,9.28,2.82,-11.81,Upgrade
EBT Excluding Unusual Items,459.79,516.13,647.26,807.42,861.78,335.54,Upgrade
Gain (Loss) on Sale of Assets,7.1,7.1,-,-,-,-,Upgrade
Legal Settlements,15,15,15.9,3.7,-,-,Upgrade
Other Unusual Items,-,-,-,-,-2.24,3.58,Upgrade
Pretax Income,481.89,538.23,663.16,818.32,859.54,339.12,Upgrade
Income Tax Expense,110.98,119.78,143.97,190.32,188.16,30.36,Upgrade
Net Income,370.91,418.45,519.19,628,671.38,308.76,Upgrade
Net Income to Common,370.91,418.45,519.19,628,671.38,308.76,Upgrade
Net Income Growth,-23.87%,-19.40%,-17.33%,-6.46%,117.44%,157.21%,Upgrade
Shares Outstanding (Basic),68,71,75,82,91,78,Upgrade
Shares Outstanding (Diluted),70,73,77,84,94,81,Upgrade
Shares Change (YoY),-7.53%,-5.71%,-7.66%,-11.02%,15.78%,8.87%,Upgrade
EPS (Basic),5.43,5.87,6.89,7.70,7.38,3.96,Upgrade
EPS (Diluted),5.32,5.73,6.70,7.49,7.12,3.79,Upgrade
EPS Growth,-17.48%,-14.48%,-10.55%,5.20%,87.86%,136.88%,Upgrade
Free Cash Flow,239.37,328.49,328.01,443.7,597.46,970.33,Upgrade
Free Cash Flow Per Share,3.43,4.50,4.23,5.29,6.34,11.92,Upgrade
Dividend Per Share,0.500,0.460,0.380,0.315,0.075,-,Upgrade
Dividend Growth,19.05%,21.05%,20.64%,320.00%,-,-,Upgrade
Gross Margin,34.04%,33.90%,34.26%,34.60%,34.71%,30.48%,Upgrade
Operating Margin,8.05%,8.96%,11.00%,13.24%,13.41%,7.65%,Upgrade
Profit Margin,6.21%,7.05%,8.43%,9.82%,9.91%,5.43%,Upgrade
Free Cash Flow Margin,4.01%,5.54%,5.33%,6.94%,8.82%,17.06%,Upgrade
EBITDA,602.19,649.61,788.79,953.31,"1,013",540.67,Upgrade
EBITDA Margin,10.08%,10.95%,12.81%,14.91%,14.96%,9.50%,Upgrade
D&A For EBITDA,121.47,118.07,110.94,106.76,105.27,105.48,Upgrade
EBIT,480.72,531.54,677.86,846.55,907.95,435.19,Upgrade
EBIT Margin,8.05%,8.96%,11.00%,13.24%,13.41%,7.65%,Upgrade
Effective Tax Rate,23.03%,22.25%,21.71%,23.26%,21.89%,8.95%,Upgrade
Advertising Expenses,-,155.7,153.7,144.5,151.2,122.8,Upgrade
