Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2018 - 2019
Revenue,43.74,47.07,78.59,46.83,72.83,34.03,Upgrade
Revenue Growth (YoY),-50.05%,-40.11%,67.84%,-35.71%,114.00%,1059.99%,Upgrade
Cost of Revenue,304.55,240.25,189.08,164.25,137.02,62.11,Upgrade
Gross Profit,-260.82,-193.18,-110.49,-117.42,-64.19,-28.07,Upgrade
"Selling, General & Admin",67.58,63.53,55.04,43.83,36.35,18.23,Upgrade
Operating Expenses,67.58,63.53,55.04,43.83,36.35,18.23,Upgrade
Operating Income,-328.4,-256.71,-165.53,-161.26,-100.53,-46.3,Upgrade
Interest Expense,-0.34,-0.25,-0.2,-0.18,-0.18,-0.12,Upgrade
Interest & Investment Income,37.48,38.03,18.76,6.62,0.49,0.83,Upgrade
EBT Excluding Unusual Items,-291.27,-218.93,-146.96,-154.81,-100.22,-45.59,Upgrade
Asset Writedown,-3.86,-4.93,-,-,-,-,Upgrade
Pretax Income,-295.12,-223.86,-146.96,-154.81,-100.22,-45.59,Upgrade
Net Income,-295.12,-223.86,-146.96,-154.81,-100.22,-45.59,Upgrade
Preferred Dividends & Other Adjustments,-,-,-,-,-,9.05,Upgrade
Net Income to Common,-295.12,-223.86,-146.96,-154.81,-100.22,-54.64,Upgrade
Shares Outstanding (Basic),82,75,58,54,48,17,Upgrade
Shares Outstanding (Diluted),82,75,58,54,48,17,Upgrade
Shares Change (YoY),17.82%,28.58%,8.22%,12.39%,176.60%,921.45%,Upgrade
EPS (Basic),-3.60,-2.98,-2.52,-2.87,-2.09,-3.15,Upgrade
EPS (Diluted),-3.60,-2.98,-2.52,-2.87,-2.09,-3.15,Upgrade
Free Cash Flow,-230.21,-207.34,-137.31,-155.92,-130.54,79.03,Upgrade
Free Cash Flow Per Share,-2.81,-2.76,-2.35,-2.89,-2.72,4.55,Upgrade
Gross Margin,-,-,-140.59%,-250.76%,-88.13%,-82.48%,Upgrade
Operating Margin,-750.89%,-545.36%,-210.62%,-344.37%,-138.03%,-136.05%,Upgrade
Profit Margin,-674.80%,-475.56%,-186.99%,-330.60%,-137.60%,-160.55%,Upgrade
Free Cash Flow Margin,-526.37%,-440.47%,-174.71%,-332.98%,-179.24%,232.22%,Upgrade
EBITDA,-321.54,-250.74,-163.47,-159.48,-99.03,-45.24,Upgrade
EBITDA Margin,-,-,-207.99%,-,-135.97%,-132.93%,Upgrade
D&A For EBITDA,6.87,5.97,2.07,1.78,1.5,1.06,Upgrade
EBIT,-328.4,-256.71,-165.53,-161.26,-100.53,-46.3,Upgrade
EBIT Margin,-,-,-210.62%,-,-138.03%,-136.05%,Upgrade
