Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
Cash & Equivalents,106.9,135.78,92.61,92.63,93.99,96.04,Upgrade
Cash & Short-Term Investments,106.9,135.78,92.61,92.63,93.99,96.04,Upgrade
Cash Growth,5.24%,46.62%,-0.02%,-1.46%,-2.13%,75.06%,Upgrade
Receivables,49.55,53.47,61.53,61,51.55,34.8,Upgrade
Prepaid Expenses,28.01,18.86,13.83,17.16,17.71,7.99,Upgrade
Restricted Cash,-,-,3.57,3.2,3.57,2.3,Upgrade
Other Current Assets,51.71,10.2,8.6,6.6,4.8,2.7,Upgrade
Total Current Assets,236.17,218.31,180.15,180.59,171.62,143.83,Upgrade
"Property, Plant & Equipment",6.09,6.66,9.73,11.93,13.51,14.71,Upgrade
Goodwill,893.97,886.3,927.43,914.08,921.42,668.15,Upgrade
Other Intangible Assets,230.58,270.51,358.03,438.27,532.54,486.8,Upgrade
Long-Term Deferred Charges,-,18.5,17.9,15.1,11.9,7.2,Upgrade
Other Long-Term Assets,36.33,20.99,24.82,31.76,12.4,6.9,Upgrade
Total Assets,"1,403","1,421","1,518","1,592","1,663","1,328",Upgrade
Accounts Payable,7.26,8.04,8.64,8.37,10.33,11.13,Upgrade
Accrued Expenses,55.51,55.06,62.48,56.96,49.34,46.41,Upgrade
Current Portion of Long-Term Debt,5.5,5.5,5.5,5.5,10.94,7.29,Upgrade
Current Portion of Leases,-,3.44,3.79,-,-,-,Upgrade
Current Unearned Revenue,37.34,38.69,36.97,34.25,32.82,21.87,Upgrade
Total Current Liabilities,116.89,110.73,117.38,105.08,103.43,86.7,Upgrade
Long-Term Debt,519.11,523.39,531.59,533.84,535.18,691.04,Upgrade
Long-Term Leases,-,13.57,19.4,-,-,-,Upgrade
Long-Term Unearned Revenue,-,0.85,2.17,2.5,2.8,2.3,Upgrade
Long-Term Deferred Tax Liabilities,-,-,-,-,-,10.77,Upgrade
Other Long-Term Liabilities,38.59,21.91,21.5,43.62,36.31,17.63,Upgrade
Total Liabilities,674.59,670.44,692.03,685.04,677.73,808.43,Upgrade
Common Stock,0,0,0,0,0,-,Upgrade
Additional Paid-In Capital,"1,391","1,426","1,454","1,490","1,501",40.56,Upgrade
Retained Earnings,-649.51,-661.06,-619.98,-573.05,-513.23,-431.26,Upgrade
Comprehensive Income & Other,-12.55,-14.32,-8.02,-10.2,-1.77,1.55,Upgrade
Total Common Equity,728.54,750.83,826.04,906.69,985.65,-389.15,Upgrade
Shareholders' Equity,728.54,750.83,826.04,906.69,985.65,519.16,Upgrade
Total Liabilities & Equity,"1,403","1,421","1,518","1,592","1,663","1,328",Upgrade
Total Debt,524.61,545.9,560.27,539.34,546.13,698.33,Upgrade
Net Cash (Debt),-417.71,-410.12,-467.67,-446.71,-452.13,-602.3,Upgrade
Net Cash Per Share,-2.29,-2.22,-2.48,-2.30,-3.84,-14.44,Upgrade
Filing Date Shares Outstanding,180.04,183.39,186.53,189.49,195.46,43.07,Upgrade
Total Common Shares Outstanding,180.04,183.73,186.93,191.45,195.38,43.07,Upgrade
Working Capital,119.28,107.59,62.77,75.51,68.19,57.13,Upgrade
Book Value Per Share,4.05,4.09,4.42,4.74,5.04,-9.03,Upgrade
Tangible Book Value,-396.01,-405.98,-459.43,-445.66,-468.3,"-1,544",Upgrade
Tangible Book Value Per Share,-2.20,-2.21,-2.46,-2.33,-2.40,-35.85,Upgrade
Machinery,-,15.33,15.42,12.9,11.86,9.18,Upgrade
Leasehold Improvements,-,10.57,11.76,11.94,12.03,11.89,Upgrade
