Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
Cash & Equivalents,360.38,348.36,277.17,243.76,742.77,385.54,Upgrade
Cash & Short-Term Investments,360.38,348.36,277.17,243.76,742.77,385.54,Upgrade
Cash Growth,-2.17%,25.68%,13.71%,-67.18%,92.66%,551.61%,Upgrade
Accounts Receivable,163.08,170.67,132.12,113.89,74.56,47.59,Upgrade
Other Receivables,6.98,9.83,9.84,5.19,3.13,2.23,Upgrade
Receivables,170.06,180.5,141.96,119.09,77.69,49.82,Upgrade
Inventory,-,5.7,5.99,5.71,-,-,Upgrade
Prepaid Expenses,-,35.02,23.27,29.8,24.9,12.36,Upgrade
Other Current Assets,32.46,3.67,0.69,3.84,4.68,2.09,Upgrade
Total Current Assets,562.9,573.25,449.07,402.2,850.04,449.81,Upgrade
"Property, Plant & Equipment",78.23,66.24,72.76,37.89,35.92,33.98,Upgrade
Long-Term Investments,-,11.72,11.81,36.71,11.05,9.88,Upgrade
Goodwill,-,318.41,296.4,303.99,248.15,86.11,Upgrade
Other Intangible Assets,"1,739","1,289","1,401",539.64,560.32,259.96,Upgrade
Long-Term Deferred Tax Assets,27.61,36.38,16.38,27.01,26.91,22.22,Upgrade
Other Long-Term Assets,10.2,-,-,40.15,37.53,90.59,Upgrade
Total Assets,"2,418","2,295","2,247","1,389","1,771",957.02,Upgrade
Accounts Payable,300.66,81.45,57.65,56.36,25.22,36.9,Upgrade
Accrued Expenses,-,53.53,37.62,36.84,32.72,23.43,Upgrade
Current Portion of Long-Term Debt,-,0.05,0.05,0.06,0.07,0.45,Upgrade
Current Portion of Leases,-,9.97,9.54,7.3,6.01,7.59,Upgrade
Current Income Taxes Payable,9.07,5.6,4.54,8.69,14.19,7.54,Upgrade
Current Unearned Revenue,31.48,30.2,26.6,23.17,22.96,14.98,Upgrade
Other Current Liabilities,60.76,193.03,220.12,177.07,152.06,108.88,Upgrade
Total Current Liabilities,412.76,373.83,356.11,309.49,253.24,199.75,Upgrade
Long-Term Debt,51.89,-,0.15,0.77,411.38,410.65,Upgrade
Long-Term Leases,-,36.7,40.41,14.71,17.89,19.99,Upgrade
Long-Term Unearned Revenue,34.33,37.71,39.53,5.25,-,-,Upgrade
Pension & Post-Retirement Benefits,-,1.41,1.04,0.2,2.09,3.79,Upgrade
Long-Term Deferred Tax Liabilities,16.7,19.04,21.32,26.05,25.48,5.65,Upgrade
Other Long-Term Liabilities,917.11,896.1,915.96,275.16,325.42,153.05,Upgrade
Total Liabilities,"1,433","1,365","1,375",631.63,"1,035",792.89,Upgrade
Common Stock,27.58,27.55,27.42,27.32,27.3,0.3,Upgrade
Additional Paid-In Capital,684.2,668.25,653.84,590.19,606.06,99.9,Upgrade
Retained Earnings,326.96,221.94,173.63,117.16,89.69,68.03,Upgrade
Treasury Stock,-60.3,-18.81,-2.32,-2.71,-,-1.97,Upgrade
Comprehensive Income & Other,6.82,26.22,15.23,19.62,15.78,1.02,Upgrade
Total Common Equity,985.26,925.15,867.79,751.59,738.82,167.28,Upgrade
Minority Interest,0,4.69,5.04,5.84,-3.19,-3.14,Upgrade
Shareholders' Equity,985.26,929.85,872.84,757.43,735.63,164.13,Upgrade
Total Liabilities & Equity,"2,418","2,295","2,247","1,389","1,771",957.02,Upgrade
Total Debt,62.69,46.72,50.15,22.85,435.35,438.68,Upgrade
Net Cash (Debt),297.7,301.64,227.03,220.91,307.42,-53.14,Upgrade
Net Cash Growth,-7.30%,32.86%,2.77%,-28.14%,-,-,Upgrade
Net Cash Per Share,1.10,0.95,0.72,0.71,1.10,-0.30,Upgrade
Filing Date Shares Outstanding,"1,006",299.46,298.16,297.22,296.94,0.34,Upgrade
Total Common Shares Outstanding,"1,006",299.46,298.16,297.22,296.94,0.34,Upgrade
Working Capital,150.14,199.42,92.95,92.71,596.81,250.06,Upgrade
Book Value Per Share,0.98,3.09,2.91,2.53,2.49,485.40,Upgrade
Tangible Book Value,-753.85,-681.9,-829.54,-92.04,-69.65,-178.79,Upgrade
Tangible Book Value Per Share,-0.75,-2.28,-2.78,-0.31,-0.23,-518.83,Upgrade
Land,-,-,-,-,-,41.09,Upgrade
Buildings,-,83.21,84.74,47.87,43.72,-,Upgrade
Construction In Progress,-,0.02,0.43,0.47,0.02,0,Upgrade
