Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
Revenue,"1,228","1,107",877.62,730.19,561.2,404.92,Upgrade
Revenue Growth (YoY),16.74%,26.09%,20.19%,30.11%,38.59%,6.45%,Upgrade
Cost of Revenue,918.66,827.68,663.62,564.45,291.45,204.5,Upgrade
Gross Profit,309.49,278.88,214,165.74,269.75,200.42,Upgrade
"Selling, General & Admin",9.19,9.19,7.83,7.8,5.34,3.47,Upgrade
Other Operating Expenses,103.03,84.34,81.61,88.09,77.47,37.87,Upgrade
Operating Expenses,181.29,150.02,141.97,142.06,218.14,152.21,Upgrade
Operating Income,128.19,128.86,72.03,23.68,51.61,48.21,Upgrade
Interest Expense,-82.85,-77.47,-31.45,-40.04,-32.32,-16.66,Upgrade
Interest & Investment Income,9.75,9.29,7.68,5.25,5.18,6.66,Upgrade
Earnings From Equity Investments,-,-,-3.7,-4.08,-1.49,-0.99,Upgrade
Currency Exchange Gain (Loss),43.4,-38.22,23.21,26.69,5.44,13.81,Upgrade
Other Non Operating Income (Expenses),0.27,0.27,2.89,-1.41,-0.1,1.86,Upgrade
EBT Excluding Unusual Items,98.76,22.72,70.65,10.09,28.32,52.89,Upgrade
Merger & Restructuring Charges,-,-,-,-,-4.49,-,Upgrade
Impairment of Goodwill,-,-,-,-,-,-10.4,Upgrade
Gain (Loss) on Sale of Investments,-,-,-13.6,7.7,-,-4.58,Upgrade
Asset Writedown,-0.17,-0.17,-9.85,-,-,-15.78,Upgrade
Pretax Income,98.59,22.55,47.2,17.79,23.82,22.13,Upgrade
Income Tax Expense,3.98,-11.06,12.55,7.3,11.04,7.32,Upgrade
Earnings From Continuing Operations,94.62,33.61,34.65,10.49,12.79,14.81,Upgrade
Earnings From Discontinued Operations,-,-,-0.75,-,-,-,Upgrade
Net Income to Company,94.62,33.61,33.89,10.49,12.79,14.81,Upgrade
Minority Interest in Earnings,0.22,0.54,0.76,0.4,-0.22,0.44,Upgrade
Net Income,94.83,34.15,34.66,10.89,12.57,15.25,Upgrade
Net Income to Common,94.83,34.15,34.66,10.89,12.57,15.25,Upgrade
Net Income Growth,61.70%,-1.46%,218.20%,-13.35%,-17.55%,29.92%,Upgrade
Shares Outstanding (Basic),251,301,298,297,277,178,Upgrade
Shares Outstanding (Diluted),271,318,317,313,279,178,Upgrade
Shares Change (YoY),-15.97%,0.26%,1.43%,12.00%,57.09%,3.16%,Upgrade
EPS (Basic),0.38,0.11,0.12,0.04,0.05,0.09,Upgrade
EPS (Diluted),0.35,0.11,0.11,0.03,0.05,0.06,Upgrade
EPS Growth,92.42%,-1.72%,213.71%,-22.64%,-24.93%,20.00%,Upgrade
Free Cash Flow,391.3,347.64,243.86,159.79,126.36,149.26,Upgrade
Free Cash Flow Per Share,1.45,1.09,0.77,0.51,0.45,0.84,Upgrade
Gross Margin,25.20%,25.20%,24.38%,22.70%,48.07%,49.50%,Upgrade
Operating Margin,10.44%,11.64%,8.21%,3.24%,9.20%,11.91%,Upgrade
Profit Margin,7.72%,3.09%,3.95%,1.49%,2.24%,3.77%,Upgrade
Free Cash Flow Margin,31.86%,31.42%,27.79%,21.88%,22.52%,36.86%,Upgrade
EBITDA,411.78,380.49,248.64,208.49,180.98,154.42,Upgrade
EBITDA Margin,33.53%,34.38%,28.33%,28.55%,32.25%,38.14%,Upgrade
D&A For EBITDA,283.58,251.63,176.6,184.81,129.38,106.21,Upgrade
EBIT,128.19,128.86,72.03,23.68,51.61,48.21,Upgrade
EBIT Margin,10.44%,11.64%,8.21%,3.24%,9.20%,11.91%,Upgrade
Effective Tax Rate,4.04%,-,26.59%,41.03%,46.33%,33.08%,Upgrade
