Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2018 - 2019
"Selling, General & Admin",44.64,39.62,28.97,21.45,19.41,13.16,Upgrade
Research & Development,421.04,345.04,122.23,80.8,70.33,36.2,Upgrade
Operating Expenses,465.68,384.66,151.2,102.25,89.74,49.36,Upgrade
Operating Income,-465.68,-384.66,-151.2,-102.25,-89.74,-49.36,Upgrade
Interest Expense,-5.96,-5.29,-4.79,-1.92,-0.67,-,Upgrade
Interest & Investment Income,13.99,13.59,11.43,1.18,1.01,-,Upgrade
Other Non Operating Income (Expenses),-,-,-,-,-,0.07,Upgrade
EBT Excluding Unusual Items,-457.65,-376.36,-144.56,-102.99,-89.4,-49.29,Upgrade
Gain (Loss) on Sale of Investments,8.79,9.97,6.24,0.98,-0.87,-0.27,Upgrade
Pretax Income,-448.86,-366.39,-138.32,-102.01,-90.27,-49.56,Upgrade
Income Tax Expense,1.35,0.69,3.87,0.02,-0.15,-0.06,Upgrade
Net Income,-450.21,-367.08,-142.19,-102.03,-90.12,-49.5,Upgrade
Net Income to Common,-450.21,-367.08,-142.19,-102.03,-90.12,-49.5,Upgrade
Shares Outstanding (Basic),132,105,71,35,20,16,Upgrade
Shares Outstanding (Diluted),132,105,71,35,20,16,Upgrade
Shares Change (YoY),49.45%,47.13%,104.48%,73.18%,24.93%,586.28%,Upgrade
EPS (Basic),-3.41,-3.51,-2.00,-2.93,-4.48,-3.08,Upgrade
EPS (Diluted),-3.41,-3.51,-2.00,-2.93,-4.48,-3.08,Upgrade
Free Cash Flow,-439.19,-367.84,-129.19,-81.1,-76.84,-46.37,Upgrade
Free Cash Flow Per Share,-3.33,-3.51,-1.81,-2.33,-3.82,-2.88,Upgrade
EBITDA,-465.64,-384.62,-151.15,-102.18,-89.66,-49.3,Upgrade
D&A For EBITDA,0.04,0.04,0.05,0.07,0.08,0.06,Upgrade
EBIT,-465.68,-384.66,-151.2,-102.25,-89.74,-49.36,Upgrade
