Period Ending,"Oct '25Oct 28, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2018 - 2019
Market Capitalization,"2,309",919,"1,041",592,265,484,Upgrade
Market Cap Growth,175.57%,-11.68%,75.74%,123.48%,-45.28%,33.64%,Upgrade
Enterprise Value,"1,785",533,618,419,109,265,Upgrade
Last Close Price,14.84,7.82,11.17,12.73,13.07,24.37,Upgrade
PB Ratio,4.22,2.29,1.94,3.90,2.11,2.39,Upgrade
P/TBV Ratio,4.42,2.29,1.94,3.90,2.11,2.39,Upgrade
Debt / Equity Ratio,0.07,0.09,0.05,0.14,0.15,-,Upgrade
Quick Ratio,14.17,12.18,19.55,7.64,7.72,25.22,Upgrade
Current Ratio,15.19,13.19,20.04,7.97,8.29,25.91,Upgrade
Return on Equity (ROE),-86.86%,-78.34%,-41.33%,-73.46%,-54.80%,-33.80%,Upgrade
Return on Assets (ROA),-49.10%,-44.73%,-23.83%,-35.58%,-30.04%,-20.12%,Upgrade
Return on Capital (ROIC),-52.84%,-48.00%,-25.69%,-40.23%,-32.21%,-21.06%,Upgrade
Earnings Yield,-19.50%,-39.92%,-13.66%,-17.22%,-34.00%,-10.22%,Upgrade
FCF Yield,-19.02%,-40.00%,-12.41%,-13.69%,-28.99%,-9.57%,Upgrade
Buyback Yield / Dilution,-49.45%,-47.13%,-104.48%,-73.18%,-24.93%,-586.28%,Upgrade
