Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
Premiums & Annuity Revenue,"3,600","2,672","1,801","1,432","1,167",955.39,Upgrade
Other Revenue,37.44,31.63,22.7,2.61,0.69,3.83,Upgrade
Total Revenue,"3,637","2,704","1,824","1,434","1,168",959.22,Upgrade
Revenue Growth (YoY),47.39%,48.25%,27.16%,22.81%,21.74%,26.72%,Upgrade
Policy Benefits,"3,186","2,407","1,623","1,250","1,039",792.99,Upgrade
Depreciation & Amortization,28.1,26.27,21.41,17.27,15.81,15.1,Upgrade
"Selling, General & Administrative",416.86,368.89,307.43,295.65,290.99,156.4,Upgrade
Total Operating Expenses,"3,631","2,802","1,951","1,563","1,346",964.49,Upgrade
Operating Income,6.64,-98.48,-127.82,-128.64,-178.07,-5.26,Upgrade
Interest Expense,-17.34,-23.55,-21.23,-18.29,-17.44,-16.93,Upgrade
Other Non Operating Income (Expenses),0.08,0.21,0.56,0.44,0.23,0.27,Upgrade
EBT Excluding Unusual Items,-10.63,-121.82,-148.48,-146.49,-195.29,-21.92,Upgrade
Merger & Restructuring Charges,-1.57,-1.57,-,-,-,-,Upgrade
Gain (Loss) on Sale of Assets,0.15,0.01,0.29,-0.1,-,-1.01,Upgrade
Asset Writedown,-0.74,-0.74,-,-0.51,-,-,Upgrade
Legal Settlements,-1.34,-0.91,-,-,-,-,Upgrade
Other Unusual Items,-3.02,-3.02,-,-2.2,-,-,Upgrade
Pretax Income,-17.78,-128.05,-148.2,-149.3,-195.29,-22.93,Upgrade
Income Tax Expense,3.25,0.02,-0.02,0.34,-,-,Upgrade
Earnings From Continuing Ops.,-21.04,-128.07,-148.17,-149.64,-195.29,-22.93,Upgrade
Minority Interest in Earnings,0.23,0.04,0.16,0.09,-,-,Upgrade
Net Income,-20.81,-128.04,-148.02,-149.55,-195.29,-22.93,Upgrade
Net Income to Common,-20.81,-128.04,-148.02,-149.55,-195.29,-22.93,Upgrade
Shares Outstanding (Basic),196,191,186,181,172,152,Upgrade
Shares Outstanding (Diluted),196,191,186,181,172,152,Upgrade
Shares Change (YoY),3.06%,2.46%,2.76%,5.38%,13.03%,11.97%,Upgrade
EPS (Basic),-0.11,-0.67,-0.79,-0.83,-1.14,-0.15,Upgrade
EPS (Diluted),-0.11,-0.67,-0.79,-0.83,-1.14,-0.15,Upgrade
Free Cash Flow,150.56,-6.65,-95.18,-69.2,-98.54,-8.15,Upgrade
Free Cash Flow Per Share,0.77,-0.04,-0.51,-0.38,-0.57,-0.05,Upgrade
Operating Margin,0.18%,-3.64%,-7.01%,-8.97%,-15.25%,-0.55%,Upgrade
Profit Margin,-0.57%,-4.74%,-8.12%,-10.43%,-16.72%,-2.39%,Upgrade
Free Cash Flow Margin,4.14%,-0.25%,-5.22%,-4.83%,-8.44%,-0.85%,Upgrade
EBITDA,36.09,-71.41,-106.15,-111.15,-162.04,10.2,Upgrade
EBITDA Margin,0.99%,-2.64%,-5.82%,-7.75%,-13.88%,1.06%,Upgrade
D&A For EBITDA,29.46,27.06,21.67,17.49,16.03,15.46,Upgrade
EBIT,6.64,-98.48,-127.82,-128.64,-178.07,-5.26,Upgrade
EBIT Margin,0.18%,-3.64%,-7.01%,-8.97%,-15.25%,-0.55%,Upgrade
Revenue as Reported,"3,637","2,704","1,824","1,434","1,168",959.22,Upgrade
