Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2016 - 2019
Revenue,390.6,980.65,221.98,209.71,27.91,12.45,Upgrade
Revenue Growth (YoY),-56.75%,341.77%,5.85%,651.38%,124.18%,-14.21%,Upgrade
Cost of Revenue,35.68,29.09,30.54,22,3.33,1.97,Upgrade
Gross Profit,354.93,951.57,191.44,187.71,24.58,10.48,Upgrade
"Selling, General & Admin",443.97,383.12,376.46,328.02,191.26,130.34,Upgrade
Research & Development,"1,032",947.25,706.97,743.1,766.49,564.57,Upgrade
Operating Expenses,"1,476","1,330","1,083","1,071",957.75,694.91,Upgrade
Operating Income,"-1,121",-378.8,-891.99,-883.41,-933.17,-684.43,Upgrade
Interest Expense,-58.18,-64.46,-96.06,-52.79,-16.73,-6.26,Upgrade
Interest & Investment Income,59.9,37.84,32.41,9.73,7.11,5.22,Upgrade
Earnings From Equity Investments,0.97,-0.28,1.08,-0.28,-,-,Upgrade
Currency Exchange Gain (Loss),6.69,6.69,1.62,-2.64,9.91,17.09,Upgrade
Other Non Operating Income (Expenses),-31.2,4.63,20.78,49.91,139.47,19,Upgrade
EBT Excluding Unusual Items,"-1,143",-394.37,-932.17,-879.48,-793.41,-649.38,Upgrade
Gain (Loss) on Sale of Investments,-0.83,-0.83,-0.7,-9.77,-20.89,-3.75,Upgrade
Gain (Loss) on Sale of Assets,-0.05,-0.05,0,2.07,-0.03,-,Upgrade
Other Unusual Items,-,-,-,-,-17.92,-22.33,Upgrade
Pretax Income,"-1,143",-395.26,-932.86,-887.17,-832.25,-675.45,Upgrade
Income Tax Expense,15.87,10.43,-7.15,-4.25,-49.83,2.16,Upgrade
Earnings From Continuing Operations,"-1,159",-405.68,-925.71,-882.92,-782.42,-677.61,Upgrade
Minority Interest in Earnings,0.13,0.25,0.08,-,-,-,Upgrade
Net Income,"-1,159",-405.43,-925.64,-882.92,-782.42,-677.61,Upgrade
Net Income to Common,"-1,159",-405.43,-925.64,-882.92,-782.42,-677.61,Upgrade
Shares Outstanding (Basic),327,302,282,264,255,216,Upgrade
Shares Outstanding (Diluted),327,302,282,264,255,216,Upgrade
Shares Change (YoY),12.40%,7.00%,7.07%,3.56%,17.93%,84.97%,Upgrade
EPS (Basic),-3.55,-1.34,-3.28,-3.35,-3.07,-3.14,Upgrade
EPS (Diluted),-3.55,-1.34,-3.28,-3.35,-3.07,-3.14,Upgrade
Free Cash Flow,-216.89,-135.65,-772.19,-857.2,"-1,040",-859.88,Upgrade
Free Cash Flow Per Share,-0.66,-0.45,-2.73,-3.25,-4.08,-3.98,Upgrade
Gross Margin,90.87%,97.03%,86.24%,89.51%,88.08%,84.21%,Upgrade
Operating Margin,-286.93%,-38.63%,-401.83%,-421.25%,-3343.50%,-5497.42%,Upgrade
Profit Margin,-296.77%,-41.34%,-416.98%,-421.02%,-2803.38%,-5442.62%,Upgrade
Free Cash Flow Margin,-55.53%,-13.83%,-347.86%,-408.75%,-3726.60%,-6906.64%,Upgrade
EBITDA,"-1,044",-298.87,-812.82,-835.99,-915.99,-667.46,Upgrade
EBITDA Margin,-267.32%,-30.48%,-,-,-,-,Upgrade
D&A For EBITDA,76.61,79.94,79.17,47.42,17.18,16.97,Upgrade
EBIT,"-1,121",-378.8,-891.99,-883.41,-933.17,-684.43,Upgrade
EBIT Margin,-286.93%,-38.63%,-,-,-,-,Upgrade
