Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021",2019 - 2020
Revenue,654.62,593.41,471.8,355.43,238.04,150.19,Upgrade
Revenue Growth (YoY),22.16%,25.78%,32.74%,49.32%,58.49%,55.86%,Upgrade
Cost of Revenue,204.3,183.19,147.53,115.82,78.51,54.51,Upgrade
Gross Profit,450.32,410.22,324.27,239.61,159.52,95.68,Upgrade
"Selling, General & Admin",427.52,398.41,349.1,290.46,178.7,98.62,Upgrade
Research & Development,144.5,133.97,119.86,97.29,59.03,29.21,Upgrade
Operating Expenses,572.03,532.38,468.97,387.75,237.74,127.83,Upgrade
Operating Income,-121.7,-122.16,-144.69,-148.14,-78.21,-32.15,Upgrade
Interest & Investment Income,18.03,18.11,13.55,7.39,0.51,1.19,Upgrade
Currency Exchange Gain (Loss),0.8,1.37,0.6,-0.75,-0.26,-0.12,Upgrade
EBT Excluding Unusual Items,-102.88,-102.68,-130.55,-141.5,-77.96,-31.09,Upgrade
Gain (Loss) on Sale of Investments,1.69,2.08,2.08,1.34,-0.37,-0.35,Upgrade
Pretax Income,-112.59,-100.6,-128.47,-140.16,-78.33,-31.43,Upgrade
Income Tax Expense,-3.99,3.45,1.96,0.58,-0.17,0.54,Upgrade
Earnings From Continuing Operations,-108.6,-104.05,-130.43,-140.75,-78.17,-31.97,Upgrade
Minority Interest in Earnings,-0.19,0.3,1.26,1.78,1.45,0.22,Upgrade
Net Income,-108.79,-103.74,-129.17,-138.97,-76.72,-31.75,Upgrade
Net Income to Common,-108.79,-103.74,-129.17,-138.97,-76.72,-31.75,Upgrade
Shares Outstanding (Basic),104,102,98,95,35,18,Upgrade
Shares Outstanding (Diluted),104,102,98,95,35,18,Upgrade
Shares Change (YoY),4.29%,4.17%,3.73%,171.00%,94.17%,11.01%,Upgrade
EPS (Basic),-1.04,-1.02,-1.32,-1.47,-2.20,-1.77,Upgrade
EPS (Diluted),-1.04,-1.02,-1.32,-1.47,-2.20,-1.77,Upgrade
Free Cash Flow,30.93,23.45,-2.91,-37.76,-37.71,-8.55,Upgrade
Free Cash Flow Per Share,0.30,0.23,-0.03,-0.40,-1.08,-0.48,Upgrade
Gross Margin,68.79%,69.13%,68.73%,67.41%,67.02%,63.71%,Upgrade
Operating Margin,-18.59%,-20.59%,-30.67%,-41.68%,-32.86%,-21.41%,Upgrade
Profit Margin,-16.62%,-17.48%,-27.38%,-39.10%,-32.23%,-21.14%,Upgrade
Free Cash Flow Margin,4.72%,3.95%,-0.62%,-10.62%,-15.84%,-5.69%,Upgrade
EBITDA,-114.22,-115.24,-139.83,-145.22,-76.64,-31.06,Upgrade
EBITDA Margin,-17.45%,-19.42%,-29.64%,-40.86%,-32.20%,-20.68%,Upgrade
D&A For EBITDA,7.48,6.92,4.86,2.92,1.57,1.09,Upgrade
EBIT,-121.7,-122.16,-144.69,-148.14,-78.21,-32.15,Upgrade
EBIT Margin,-18.59%,-20.59%,-30.67%,-41.68%,-32.86%,-21.41%,Upgrade
Advertising Expenses,-,-,-,-,-,8.1,Upgrade
