Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021",2019 - 2020
Cash & Equivalents,80.98,83.06,68.23,68.59,478.94,28.51,Upgrade
Short-Term Investments,282.63,430.46,407.9,410.08,35.16,58,Upgrade
Cash & Short-Term Investments,363.61,513.52,476.13,478.67,514.09,86.51,Upgrade
Cash Growth,-27.86%,7.85%,-0.53%,-6.89%,494.24%,-5.93%,Upgrade
Accounts Receivable,88.22,95.23,92.26,78.34,64.5,34.77,Upgrade
Other Receivables,5.23,6.73,5.03,3.06,0.93,-,Upgrade
Receivables,93.45,101.96,97.29,81.4,65.43,34.77,Upgrade
Prepaid Expenses,19.79,21.38,17.66,16.86,24.47,1.2,Upgrade
Restricted Cash,1.29,-,3.37,-,-,0.47,Upgrade
Other Current Assets,6.37,7.17,6.67,6.25,4.19,11.01,Upgrade
Total Current Assets,484.51,644.03,601.12,583.17,608.19,133.96,Upgrade
"Property, Plant & Equipment",113.21,114.7,110.52,66.6,7.39,5.49,Upgrade
Goodwill,267.78,28.45,28.45,-,-,-,Upgrade
Other Intangible Assets,67.64,3.13,3.69,0.5,-,-,Upgrade
Long-Term Deferred Charges,82.17,76.77,63.66,48.45,41.69,27.43,Upgrade
Other Long-Term Assets,7.24,3.93,3.5,6.68,9,4.52,Upgrade
Total Assets,"1,023",871,810.94,705.41,666.26,171.39,Upgrade
Accounts Payable,1.11,2.15,6.32,3.1,2.08,0.44,Upgrade
Accrued Expenses,56.78,52.94,49.12,29.98,26.13,21.41,Upgrade
Current Portion of Leases,20.01,18.16,15.59,10.7,-,-,Upgrade
Current Income Taxes Payable,8.54,8.85,9.05,4.21,1.95,-,Upgrade
Current Unearned Revenue,262.11,239.98,204.27,166.09,126.26,74.79,Upgrade
Other Current Liabilities,5.11,2.4,5.1,3.22,3.54,4.49,Upgrade
Total Current Liabilities,353.66,324.48,289.44,217.3,159.97,101.13,Upgrade
Long-Term Leases,64.41,69.28,75.03,40.59,-,-,Upgrade
Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.08,Upgrade
Other Long-Term Liabilities,5.41,2.49,2.05,0.76,1.48,2.23,Upgrade
Total Liabilities,423.49,396.25,366.52,258.65,161.44,103.44,Upgrade
Common Stock,0.01,0.01,0.01,0.01,0.01,-,Upgrade
Additional Paid-In Capital,"1,249","1,063",928.49,806.04,717.18,29.78,Upgrade
Retained Earnings,-650.52,-586.84,-483.09,-353.93,-214.96,-138.24,Upgrade
Comprehensive Income & Other,-0.1,-0.93,-1.18,-6.82,-0.64,-0.04,Upgrade
Total Common Equity,598.88,474.86,444.23,445.3,501.58,-108.51,Upgrade
Minority Interest,0.17,-0.11,0.19,1.46,3.24,2.23,Upgrade
Shareholders' Equity,599.05,474.75,444.43,446.76,504.82,67.96,Upgrade
Total Liabilities & Equity,"1,023",871,810.94,705.41,666.26,171.39,Upgrade
Total Debt,84.42,87.44,90.61,51.29,-,-,Upgrade
Net Cash (Debt),279.18,426.08,385.51,427.39,514.09,86.51,Upgrade
Net Cash Growth,-32.91%,10.52%,-9.80%,-16.87%,494.24%,-5.93%,Upgrade
Net Cash Per Share,2.67,4.17,3.93,4.52,14.73,4.81,Upgrade
Filing Date Shares Outstanding,111.27,104.63,100.84,96.23,93.23,20.66,Upgrade
Total Common Shares Outstanding,110.42,103.95,100.21,95.98,92.97,19.5,Upgrade
Working Capital,130.84,319.55,311.68,365.87,448.22,32.83,Upgrade
Book Value Per Share,5.42,4.57,4.43,4.64,5.40,-5.56,Upgrade
Tangible Book Value,263.46,443.28,412.1,444.8,501.58,-108.51,Upgrade
Tangible Book Value Per Share,2.39,4.26,4.11,4.63,5.40,-5.56,Upgrade
Machinery,21.77,19.02,11.63,12.2,4.8,3.19,Upgrade
Leasehold Improvements,21.63,20.95,18.79,9.41,2.47,1.98,Upgrade
