Period Ending,"Nov '25Nov 18, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022"
Market Capitalization,"1,593",434,-,-
Enterprise Value,"1,393",422,-,-
Last Close Price,30.98,14.41,-,-
PB Ratio,5.69,13.74,-,-
P/TBV Ratio,7.07,13.74,-,-
Debt / Equity Ratio,0.01,0.06,-,-
Quick Ratio,72.51,15.51,30.90,15.46
Current Ratio,73.00,15.96,31.82,16.31
Return on Equity (ROE),-28.84%,-60.40%,-303.54%,-
Return on Assets (ROA),-19.15%,-31.23%,-82.84%,-
Return on Capital (ROIC),-19.46%,-37.19%,-190.72%,-
Return on Capital Employed (ROCE),-16.60%,-31.80%,-89.70%,-75.40%
Earnings Yield,-2.16%,-2.34%,-,-
FCF Yield,-1.42%,-2.34%,-,-
Buyback Yield / Dilution,-43.05%,-17.12%,-35.25%,-
