Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
Cash & Equivalents,115.75,145.69,335.39,241.81,68.53,10.33,Upgrade
Short-Term Investments,827.35,972.61,384.52,230.36,219.59,-,Upgrade
Cash & Short-Term Investments,943.1,"1,118",719.91,472.16,288.11,10.33,Upgrade
Cash Growth,-19.28%,55.34%,52.47%,63.88%,2688.53%,242.57%,Upgrade
Prepaid Expenses,13.84,14.15,6.58,5.83,2.52,0.31,Upgrade
Total Current Assets,956.95,"1,132",726.49,477.99,290.63,10.65,Upgrade
Other Long-Term Assets,22.97,9.3,5.9,4.47,3.2,-,Upgrade
Total Assets,979.91,"1,142",732.38,482.46,293.82,10.65,Upgrade
Accounts Payable,22.01,5.23,9.27,7.2,2.89,1.25,Upgrade
Accrued Expenses,67.14,48.8,22.55,12.29,5.89,1.17,Upgrade
Other Current Liabilities,-,-,-,-,-,1.96,Upgrade
Total Current Liabilities,89.15,54.02,31.82,19.48,8.79,4.38,Upgrade
Long-Term Debt,-,-,-,-,-,2.24,Upgrade
Other Long-Term Liabilities,45.36,17.94,-,-,-,-,Upgrade
Total Liabilities,134.51,71.96,31.82,19.48,8.79,6.62,Upgrade
Common Stock,0.01,0.01,0.01,0.01,0.01,-,Upgrade
Additional Paid-In Capital,"1,697","1,617",986.82,623.54,363.48,0.84,Upgrade
Retained Earnings,-853.72,-547.05,-286.3,-160.08,-78.22,-31.89,Upgrade
Comprehensive Income & Other,2.37,-0.06,0.03,-0.49,-0.23,-0.28,Upgrade
Total Common Equity,845.4,"1,070",700.56,462.98,285.04,-31.32,Upgrade
Shareholders' Equity,845.4,"1,070",700.56,462.98,285.04,4.03,Upgrade
Total Liabilities & Equity,979.91,"1,142",732.38,482.46,293.82,10.65,Upgrade
Total Debt,-,-,-,-,-,2.24,Upgrade
Net Cash (Debt),943.1,"1,118",719.91,472.16,288.11,8.1,Upgrade
Net Cash Growth,-19.28%,55.34%,52.47%,63.88%,3458.24%,860.50%,Upgrade
Net Cash Per Share,13.15,16.84,12.36,9.51,13.23,2.82,Upgrade
Filing Date Shares Outstanding,72.71,71.6,64.07,56.7,48.31,3.13,Upgrade
Total Common Shares Outstanding,72.27,71.34,64.07,56.67,48.3,3.13,Upgrade
Working Capital,867.79,"1,078",694.67,458.51,281.84,6.27,Upgrade
Book Value Per Share,11.70,14.99,10.94,8.17,5.90,-10.01,Upgrade
Tangible Book Value,845.4,"1,070",700.56,462.98,285.04,-31.32,Upgrade
Tangible Book Value Per Share,11.70,14.99,10.94,8.17,5.90,-10.01,Upgrade
