Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"4,703",-,-,-
Enterprise Value,"5,234",-,-,-
Debt / Equity Ratio,1.14,8.37,2.14,-
Debt / EBITDA Ratio,4.14,6.92,6.44,-
Debt / FCF Ratio,6.86,166.09,66.49,-
Asset Turnover,-,0.94,-,-
Inventory Turnover,-,164.72,-,-
Quick Ratio,1.51,1.76,1.50,-
Current Ratio,1.57,1.84,1.57,-
Return on Equity (ROE),-,-7.61%,-,-
Return on Assets (ROA),-,2.63%,-,-
Return on Capital (ROIC),-,3.32%,-,-
Return on Capital Employed (ROCE),5.80%,4.90%,3.00%,-
