Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"3,393",120,-,-
Enterprise Value,"3,391",119,-,-
Last Close Price,9.13,10.12,-,-
PS Ratio,150.95,3.95,-,-
PB Ratio,-,-4.85,-,-
EV/Sales Ratio,112.18,3.92,-,-
Debt / Equity Ratio,-0.04,-0.04,-0.27,-0.50
Asset Turnover,1.47,1.47,1.16,-
Inventory Turnover,6.70,6.70,4.18,-
Quick Ratio,0.72,0.72,1.53,0.53
Current Ratio,1.49,1.49,3.12,1.17
Return on Assets (ROA),-29.06%,-29.06%,-20.05%,-
Return on Capital Employed (ROCE),-117.60%,-117.60%,-41.00%,-138.20%
Earnings Yield,-0.32%,-9.19%,-,-
FCF Yield,-0.17%,-4.74%,-,-
