Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2017 - 2019
Revenue,810.64,720.42,596.43,498,371.02,249.66,Upgrade
Revenue Growth (YoY),18.18%,20.79%,19.77%,34.22%,48.61%,44.83%,Upgrade
Cost of Revenue,123.43,113.33,103.37,95.77,78.03,52.49,Upgrade
Gross Profit,687.21,607.09,493.06,402.23,292.99,197.17,Upgrade
"Selling, General & Admin",562.92,569.35,525.48,500.06,377.37,184.07,Upgrade
Research & Development,162.43,164.59,137.76,135.54,120.41,69.21,Upgrade
Operating Expenses,725.36,733.94,663.24,635.6,497.77,253.28,Upgrade
Operating Income,-38.15,-126.85,-170.17,-233.37,-204.78,-56.11,Upgrade
Interest & Investment Income,44.55,51.7,45.9,10.96,2.45,12.32,Upgrade
Other Non Operating Income (Expenses),-11.09,-19.92,-15.14,-,-1.37,-8.63,Upgrade
EBT Excluding Unusual Items,-4.7,-95.07,-139.42,-222.42,-203.7,-52.42,Upgrade
Merger & Restructuring Charges,-12.17,-11.76,-,-,-,-,Upgrade
Gain (Loss) on Sale of Investments,7.27,15.99,15.65,1.63,22.22,-0.86,Upgrade
Pretax Income,-9.6,-90.84,-123.77,-220.79,-181.48,-53.28,Upgrade
Income Tax Expense,20.03,4.53,13.67,11.34,10.52,4.01,Upgrade
Earnings From Continuing Operations,-,-95.37,-137.44,-232.13,-192,-57.29,Upgrade
Net Income,-29.62,-95.37,-137.44,-232.13,-192,-57.29,Upgrade
Preferred Dividends & Other Adjustments,-,-,-,-,"2,647","1,561",Upgrade
Net Income to Common,-29.62,-95.37,-137.44,-232.13,"-2,839","-1,618",Upgrade
Shares Outstanding (Basic),296,301,293,285,131,77,Upgrade
Shares Outstanding (Diluted),296,301,293,285,131,77,Upgrade
Shares Change (YoY),-0.88%,2.65%,2.99%,117.82%,69.80%,1.21%,Upgrade
EPS (Basic),-0.10,-0.32,-0.47,-0.82,-21.73,-21.03,Upgrade
EPS (Diluted),-0.10,-0.32,-0.47,-0.82,-21.73,-21.03,Upgrade
Free Cash Flow,212.86,151.47,84.11,-9.65,5.9,28.15,Upgrade
Free Cash Flow Per Share,0.72,0.50,0.29,-0.03,0.04,0.37,Upgrade
Gross Margin,84.77%,84.27%,82.67%,80.77%,78.97%,78.97%,Upgrade
Operating Margin,-4.71%,-17.61%,-28.53%,-46.86%,-55.19%,-22.48%,Upgrade
Profit Margin,-3.65%,-13.24%,-23.04%,-46.61%,-765.09%,-648.01%,Upgrade
Free Cash Flow Margin,26.26%,21.02%,14.10%,-1.94%,1.59%,11.27%,Upgrade
EBITDA,-13.97,-113.06,-163.13,-225.06,-194.03,-50.31,Upgrade
EBITDA Margin,-1.72%,-15.69%,-27.35%,-45.19%,-52.30%,-20.15%,Upgrade
D&A For EBITDA,24.18,13.78,7.04,8.31,10.75,5.8,Upgrade
EBIT,-38.15,-126.85,-170.17,-233.37,-204.78,-56.11,Upgrade
EBIT Margin,-4.71%,-17.61%,-28.53%,-46.86%,-55.19%,-22.48%,Upgrade
Advertising Expenses,-,41.4,41.2,47.2,41.2,31.1,Upgrade
