Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
Revenue,446.72,438.94,380.72,316.35,248.41,185.93,Upgrade
Revenue Growth (YoY),8.04%,15.29%,20.35%,27.35%,33.61%,24.30%,Upgrade
Cost of Revenue,122.76,121.78,121.31,117.86,100.09,83.76,Upgrade
Gross Profit,323.96,317.16,259.41,198.49,148.32,102.17,Upgrade
"Selling, General & Admin",193.31,182.01,179.3,164.81,159.76,88.51,Upgrade
Research & Development,102.56,101.11,97.56,83.91,65.15,44.5,Upgrade
Operating Expenses,330.78,319.41,312.77,281.56,255.64,160.52,Upgrade
Operating Income,-6.82,-2.25,-53.36,-83.08,-107.32,-58.35,Upgrade
Interest Expense,-8.69,-11.33,-13.52,-20.75,-20.11,-20.08,Upgrade
Interest & Investment Income,19.05,22.97,20.89,7.16,0.66,1.68,Upgrade
Other Non Operating Income (Expenses),-,-,-,-,-26.13,-7.54,Upgrade
EBT Excluding Unusual Items,3.55,9.39,-45.99,-96.66,-152.9,-84.29,Upgrade
Merger & Restructuring Charges,-9.21,-1.16,-1.88,-1.53,-,-,Upgrade
Asset Writedown,-1.12,-1.28,-,-2.78,-1.41,-0.92,Upgrade
Other Unusual Items,-,-,-,-,-50,-15.8,Upgrade
Pretax Income,-6.77,9.07,-46.13,-100.96,-204.31,-101.01,Upgrade
Income Tax Expense,1.29,0.92,1.2,0.32,-4.66,0.23,Upgrade
Net Income,-8.06,8.15,-47.33,-101.28,-199.65,-101.25,Upgrade
Preferred Dividends & Other Adjustments,-,-,-,-,24.64,65.1,Upgrade
Net Income to Common,-8.06,8.15,-47.33,-101.28,-224.29,-166.34,Upgrade
Shares Outstanding (Basic),206,206,202,198,85,50,Upgrade
Shares Outstanding (Diluted),206,209,202,198,85,50,Upgrade
Shares Change (YoY),0.78%,3.60%,1.94%,132.83%,71.02%,16.96%,Upgrade
EPS (Basic),-0.04,0.04,-0.23,-0.51,-2.64,-3.34,Upgrade
EPS (Diluted),-0.04,0.04,-0.23,-0.51,-2.64,-3.34,Upgrade
Free Cash Flow,81.33,69.87,6.2,-31.85,-70.06,-44.83,Upgrade
Free Cash Flow Per Share,0.40,0.33,0.03,-0.16,-0.82,-0.90,Upgrade
Gross Margin,72.52%,72.26%,68.14%,62.74%,59.71%,54.95%,Upgrade
Operating Margin,-1.53%,-0.51%,-14.01%,-26.26%,-43.20%,-31.38%,Upgrade
Profit Margin,-1.80%,1.86%,-12.43%,-32.02%,-90.29%,-89.47%,Upgrade
Free Cash Flow Margin,18.20%,15.92%,1.63%,-10.07%,-28.20%,-24.11%,Upgrade
EBITDA,27.84,34.04,-17.44,-50.23,-76.58,-30.83,Upgrade
EBITDA Margin,6.23%,7.75%,-4.58%,-15.88%,-30.83%,-16.58%,Upgrade
D&A For EBITDA,34.66,36.28,35.91,32.84,30.74,27.51,Upgrade
EBIT,-6.82,-2.25,-53.36,-83.08,-107.32,-58.35,Upgrade
EBIT Margin,-1.53%,-0.51%,-14.01%,-26.26%,-43.20%,-31.38%,Upgrade
Effective Tax Rate,-,10.16%,-,-,-,-,Upgrade
