Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
Cash & Equivalents,335.77,355.64,406.97,350.56,562.82,252.46,Upgrade
Short-Term Investments,71.46,33.66,44.65,110.99,-,-,Upgrade
Cash & Short-Term Investments,407.23,389.3,451.62,461.55,562.82,252.46,Upgrade
Cash Growth,-12.43%,-13.80%,-2.15%,-17.99%,122.93%,12.07%,Upgrade
Receivables,50.99,51.67,46.69,39.67,30.97,24.76,Upgrade
Prepaid Expenses,15.5,15.32,12.07,12.56,10.24,8.63,Upgrade
Other Current Assets,"1,166","1,264","1,588","1,294","1,254",146.48,Upgrade
Total Current Assets,"1,640","1,721","2,099","1,808","1,858",432.32,Upgrade
"Property, Plant & Equipment",96.63,97.59,102.61,106.24,109.51,90.01,Upgrade
Goodwill,165.92,165.92,165.92,165.92,165.92,105.7,Upgrade
Other Intangible Assets,65.24,71.07,84.81,98.75,100.46,72.44,Upgrade
Long-Term Deferred Charges,30.55,29.86,28.27,28.67,28.44,24.38,Upgrade
Other Long-Term Assets,5.54,4.56,3.35,4.8,4.1,1.66,Upgrade
Total Assets,"2,004","2,090","2,484","2,212","2,266",726.51,Upgrade
Accounts Payable,20.48,15.49,16.78,13.45,17.14,25.42,Upgrade
Accrued Expenses,"1,193","1,297","1,635","1,357","1,298",178.09,Upgrade
Current Portion of Long-Term Debt,4.8,4.8,6.43,6.43,4.8,1,Upgrade
Current Portion of Leases,0.7,1.31,1.8,1.86,1.72,2.24,Upgrade
Current Unearned Revenue,12.75,13.97,12.85,12.06,9.53,6.31,Upgrade
Other Current Liabilities,-,-,-,-,0.69,-,Upgrade
Total Current Liabilities,"1,232","1,333","1,673","1,391","1,332",213.06,Upgrade
Long-Term Debt,4.3,4.3,69.76,75.91,119.88,98.45,Upgrade
Long-Term Leases,65,64.99,65.74,66.63,64.62,76.89,Upgrade
Long-Term Unearned Revenue,10.64,11.86,14.74,17.49,20.35,1.66,Upgrade
Other Long-Term Liabilities,4.33,3.96,4.18,3.37,6.09,14.94,Upgrade
Total Liabilities,"1,316","1,418","1,827","1,555","1,543",404.99,Upgrade
Common Stock,0.21,0.2,0.2,0.2,0.2,0.05,Upgrade
Additional Paid-In Capital,"1,718","1,686","1,678","1,632","1,595",161.12,Upgrade
Retained Earnings,"-1,031","-1,014","-1,022",-974.84,-871.92,-672.27,Upgrade
Total Common Equity,687.55,671.83,656.45,657.44,723.06,-511.11,Upgrade
Shareholders' Equity,687.55,671.83,656.45,657.44,723.06,321.52,Upgrade
Total Liabilities & Equity,"2,004","2,090","2,484","2,212","2,266",726.51,Upgrade
Total Debt,74.8,75.4,143.72,150.83,191.02,178.57,Upgrade
Net Cash (Debt),332.44,313.9,307.9,310.72,371.8,73.88,Upgrade
Net Cash Growth,3.10%,1.95%,-0.91%,-16.43%,403.22%,8.27%,Upgrade
Net Cash Per Share,1.61,1.50,1.53,1.57,4.37,1.49,Upgrade
Filing Date Shares Outstanding,207.7,204.44,204.32,199.47,196.84,50.05,Upgrade
Total Common Shares Outstanding,207.7,204.34,204.08,199.43,196.8,50.05,Upgrade
Working Capital,407.94,387.95,425.9,416.46,525.58,219.26,Upgrade
Book Value Per Share,3.31,3.29,3.22,3.30,3.67,-10.21,Upgrade
Tangible Book Value,456.39,434.84,405.72,392.77,456.68,-689.25,Upgrade
Tangible Book Value Per Share,2.20,2.13,1.99,1.97,2.32,-13.77,Upgrade
Land,-,37.36,37.36,37.36,37.36,12.67,Upgrade
Machinery,-,31.7,29.66,27.91,24.12,22.89,Upgrade
Leasehold Improvements,-,5.09,7.08,7.06,8.31,8.68,Upgrade
