Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
"Selling, General & Admin",28.36,23.82,14.3,5.23,2.42,0.53
Research & Development,174.71,168.58,70.36,26.25,16.31,2.41
Operating Expenses,203.07,192.4,84.66,31.48,18.73,2.94
Operating Income,-203.07,-192.4,-84.66,-31.48,-18.73,-2.94
Interest Expense,-,-,-,-,-0.03,-0.12
Interest & Investment Income,12.3,14.59,12.76,1.68,-,-
Other Non Operating Income (Expenses),-0,0.01,0,0,0,-0.37
EBT Excluding Unusual Items,-190.77,-177.81,-71.9,-29.8,-18.75,-3.43
Other Unusual Items,-,-,-,-,-0.66,-
Pretax Income,-190.77,-177.81,-71.9,-29.8,-19.41,-3.43
Net Income,-190.77,-177.81,-71.9,-29.8,-19.41,-3.43
Net Income to Common,-190.77,-177.81,-71.9,-29.8,-19.41,-3.43
Shares Outstanding (Basic),55,49,36,5,5,5
Shares Outstanding (Diluted),55,49,36,5,5,5
Shares Change (YoY),25.20%,34.13%,600.33%,3.67%,7.64%,-
EPS (Basic),-3.49,-3.66,-1.99,-5.77,-3.89,-0.74
EPS (Diluted),-3.49,-3.66,-1.99,-5.77,-3.89,-0.74
Free Cash Flow,-192.72,-166.41,-81.17,-29.22,-14.56,-2.46
Free Cash Flow Per Share,-3.53,-3.43,-2.24,-5.66,-2.92,-0.53
EBITDA,-203.01,-192.36,-,-,-,-
D&A For EBITDA,0.06,0.04,-,-,-,-
EBIT,-203.07,-192.4,-84.66,-31.48,-18.73,-2.94
