Period Ending,"Nov '25Nov 6, 2025","Nov '24Nov 30, 2024","Nov '23Nov 30, 2023","Nov '22Nov 30, 2022","Nov '21Nov 30, 2021","Nov '20Nov 30, 2020",2017 - 2019
Market Capitalization,"2,280","2,914","6,260","6,243","8,670","4,136",Upgrade
Market Cap Growth,-25.33%,-53.46%,0.27%,-27.99%,109.61%,-,Upgrade
Enterprise Value,"7,683","8,472","8,576","8,977","9,898","6,292",Upgrade
Last Close Price,38.20,43.80,89.73,115.44,155.46,74.82,Upgrade
PE Ratio,7.72,12.05,20.34,14.57,21.69,25.10,Upgrade
Forward PE,3.10,3.62,7.07,10.06,15.68,-,Upgrade
PS Ratio,0.25,0.30,0.88,0.99,1.55,0.88,Upgrade
PB Ratio,0.55,0.72,1.51,2.32,3.31,1.80,Upgrade
P/TBV Ratio,-,-,-,-,57.33,-,Upgrade
P/FCF Ratio,4.43,6.80,12.58,13.55,23.75,12.30,Upgrade
P/OCF Ratio,3.06,4.37,9.23,10.39,16.86,8.15,Upgrade
PEG Ratio,0.46,0.51,0.76,0.94,0.75,-,Upgrade
EV/Sales Ratio,0.79,0.88,1.21,1.42,1.77,1.33,Upgrade
EV/EBITDA Ratio,5.57,5.84,7.68,9.15,11.90,10.86,Upgrade
EV/EBIT Ratio,10.74,11.36,11.78,13.37,17.84,20.79,Upgrade
EV/FCF Ratio,14.89,19.76,17.24,19.49,27.11,18.71,Upgrade
Debt / Equity Ratio,1.32,1.39,1.40,1.01,0.50,0.73,Upgrade
Debt / EBITDA Ratio,3.16,2.99,4.13,2.19,1.20,2.02,Upgrade
Debt / FCF Ratio,11.14,13.07,11.68,5.91,3.59,5.00,Upgrade
Asset Turnover,0.79,0.79,0.74,1.08,1.09,0.96,Upgrade
Quick Ratio,1.20,1.09,1.05,1.36,1.44,1.22,Upgrade
Current Ratio,1.56,1.42,1.38,1.55,1.59,1.41,Upgrade
Return on Equity (ROE),7.43%,6.14%,9.18%,16.39%,16.48%,8.74%,Upgrade
Return on Assets (ROA),3.63%,3.81%,4.75%,7.17%,6.78%,3.85%,Upgrade
Return on Capital (ROIC),4.46%,4.76%,5.92%,8.98%,8.76%,5.09%,Upgrade
Return on Capital Employed (ROCE),6.90%,7.50%,7.00%,12.10%,13.60%,7.30%,Upgrade
Earnings Yield,13.20%,8.62%,5.01%,6.97%,4.68%,3.98%,Upgrade
FCF Yield,22.56%,14.71%,7.95%,7.38%,4.21%,8.13%,Upgrade
Dividend Yield,3.93%,2.83%,1.26%,0.89%,0.16%,-,Upgrade
Payout Ratio,28.64%,33.36%,20.23%,12.28%,3.23%,-,Upgrade
Buyback Yield / Dilution,1.29%,-20.48%,-4.39%,0.34%,-0.60%,-,Upgrade
Total Shareholder Return,5.21%,-17.65%,-3.13%,1.22%,-0.44%,-,Upgrade
