Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Mar '21Mar 31, 2021"
Revenue,144.09,140.05,69.23,15.03,-,-
Revenue Growth (YoY),19.82%,102.30%,360.51%,-,-,-
Cost of Revenue,80.93,62.61,27.32,11.08,-,-
Gross Profit,63.16,77.44,41.91,3.95,-,-
"Selling, General & Admin",117.42,78.23,41.91,39.34,30.76,10.06
Other Operating Expenses,0.01,-2.2,-0.13,1.69,-,-
Operating Expenses,182.38,130.74,70.13,47.7,30.76,10.06
Operating Income,-119.22,-53.29,-28.21,-43.75,-30.76,-10.06
Interest Expense,-11.49,-19.79,-34.81,-24.68,-2.46,-
Earnings From Equity Investments,-2.68,3.36,-9.29,-15.71,-1.68,-
Other Non Operating Income (Expenses),3.93,3.93,0.23,-,-,-
EBT Excluding Unusual Items,-126.92,-65.8,-72.08,-84.14,-34.9,-10.06
Merger & Restructuring Charges,-1.48,-,-,-,-16.58,-
Gain (Loss) on Sale of Investments,22.6,22.6,-,-,-,-
Gain (Loss) on Sale of Assets,-21.66,-17.82,-1.21,-,-,-
Asset Writedown,-,-5.1,-,-,-,-
Other Unusual Items,-4.27,-6.3,-,-2.05,-,-
Pretax Income,-131.72,-72.42,-73.29,-86.19,-51.48,-10.06
Income Tax Expense,-,-,-,-0.26,-0.67,-
Earnings From Continuing Operations,-131.72,-72.42,-73.29,-85.93,-50.81,-10.06
Earnings From Discontinued Operations,-,-,-0.13,-4.86,-53.57,-
Net Income,-131.72,-72.42,-73.42,-90.79,-104.38,-10.06
Net Income to Common,-131.72,-72.42,-73.42,-90.79,-104.38,-10.06
Shares Outstanding (Basic),386,351,210,111,85,59
Shares Outstanding (Diluted),386,351,210,111,85,59
Shares Change (YoY),40.92%,67.33%,89.77%,29.86%,44.85%,-
EPS (Basic),-0.34,-0.21,-0.35,-0.82,-1.23,-0.17
EPS (Diluted),-0.34,-0.21,-0.35,-0.82,-1.23,-0.17
Free Cash Flow,-449.96,-292.36,-70.91,-106.92,-206.43,-142.2
Free Cash Flow Per Share,-1.17,-0.83,-0.34,-0.97,-2.42,-2.42
Gross Margin,43.83%,55.30%,60.54%,26.28%,-,-
Operating Margin,-82.75%,-38.05%,-40.75%,-290.99%,-,-
Profit Margin,-91.42%,-51.71%,-106.06%,-603.95%,-,-
Free Cash Flow Margin,-312.29%,-208.75%,-102.42%,-711.25%,-,-
EBITDA,-49.18,6.52,0.14,-37.08,-,-
EBITDA Margin,-34.13%,4.65%,0.20%,-246.64%,-,-
D&A For EBITDA,70.05,59.81,28.35,6.67,-,-
EBIT,-119.22,-53.29,-28.21,-43.75,-30.76,-10.06
EBIT Margin,-82.75%,-38.05%,-40.75%,-290.99%,-,-
