Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Revenue,0.55,1.14,0.2,0.19,10.36
Revenue Growth (YoY),2.23%,458.33%,6.81%,-98.16%,-
Cost of Revenue,84.74,82.1,45.75,29.03,18.32
Gross Profit,-84.18,-80.96,-45.55,-28.84,-7.96
"Selling, General & Admin",52.62,33.7,9.9,6.41,4.65
Operating Expenses,73.11,33.7,9.9,6.41,4.65
Operating Income,-157.29,-114.67,-55.45,-35.25,-12.61
Interest Expense,-,-,-,-0,-0.45
Interest & Investment Income,29.2,26.62,6.9,1.6,-
Other Non Operating Income (Expenses),0.01,0,-0.06,-1.8,-0.18
EBT Excluding Unusual Items,-128.08,-88.04,-48.61,-35.44,-13.24
Other Unusual Items,-,-,-,-,0.4
Pretax Income,-128.08,-88.04,-48.61,-35.44,-12.84
Net Income,-128.08,-88.04,-48.61,-35.44,-12.84
Preferred Dividends & Other Adjustments,-,-,19.19,8.35,5.54
Net Income to Common,-128.08,-88.04,-67.8,-43.79,-18.38
Shares Outstanding (Basic),72,62,4,4,4
Shares Outstanding (Diluted),72,62,4,4,4
Shares Change (YoY),376.91%,1343.03%,15.77%,2.48%,-
EPS (Basic),-1.77,-1.41,-15.65,-11.71,-5.04
EPS (Diluted),-1.77,-1.41,-15.65,-11.71,-5.04
Free Cash Flow,-94.06,-78.95,-45.68,-29.82,-13.75
Free Cash Flow Per Share,-1.30,-1.26,-10.55,-7.97,-3.77
Gross Margin,-,-,-,-,-76.86%
Operating Margin,-28546.10%,-10067.25%,-27180.88%,-18453.40%,-121.70%
Profit Margin,-23245.19%,-7729.50%,-33234.31%,-22925.65%,-177.48%
Free Cash Flow Margin,-17069.87%,-6931.26%,-22391.67%,-15611.52%,-132.76%
EBITDA,-157.09,-114.63,-55.43,-35.23,-12.6
EBITDA Margin,-,-,-,-,-121.61%
D&A For EBITDA,0.2,0.03,0.02,0.02,0.01
EBIT,-157.29,-114.67,-55.45,-35.25,-12.61
EBIT Margin,-,-,-,-,-121.70%
