Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Cash & Equivalents,14.62,257.07,8.27,88.14,53.61
Short-Term Investments,646.43,484.93,179.41,55.34,-
Cash & Short-Term Investments,661.05,742,187.67,143.48,53.61
Cash Growth,16.69%,295.37%,30.80%,167.65%,-
Other Receivables,-,0.78,0.09,0.3,0
Receivables,0.56,0.78,0.09,0.3,0
Prepaid Expenses,11.42,11.43,6.36,3.42,4.8
Total Current Assets,673.03,754.21,194.12,147.21,58.41
"Property, Plant & Equipment",1.22,0.49,0.49,0.51,0.2
Long-Term Deferred Charges,0.4,-,4.67,-,-
Other Long-Term Assets,0.12,0.09,0.02,0.03,0.09
Total Assets,701.45,754.8,199.3,147.75,58.69
Accounts Payable,7.13,6.52,3.24,0.99,1
Accrued Expenses,22.73,14.23,9.68,5.12,1.89
Current Portion of Long-Term Debt,-,-,-,8.97,2.94
Current Portion of Leases,0.29,0.19,0.22,0.19,0.07
Other Current Liabilities,0.24,0.44,1.12,0.17,0.07
Total Current Liabilities,30.38,21.37,14.25,15.43,5.98
Long-Term Debt,-,-,-,6.53,12.06
Long-Term Leases,0.71,0.05,0.24,0.26,0.05
Other Long-Term Liabilities,-,-,0.01,0.35,0.35
Total Liabilities,31.09,21.42,14.51,22.57,18.44
Common Stock,0.01,0.01,-,-,0
Additional Paid-In Capital,964.21,951.35,6.84,3.64,3.27
Retained Earnings,-293.86,-217.98,-129.94,-81.34,-45.89
Total Common Equity,670.36,733.38,-123.1,-77.69,-42.62
Shareholders' Equity,670.36,733.38,184.79,125.18,40.25
Total Liabilities & Equity,701.45,754.8,199.3,147.75,58.69
Total Debt,0.99,0.24,0.46,15.94,15.13
Net Cash (Debt),660.06,741.76,187.21,127.54,38.48
Net Cash Growth,16.60%,296.21%,46.79%,231.45%,-
Net Cash Per Share,9.15,11.87,43.23,34.09,10.54
Filing Date Shares Outstanding,76.25,76.22,66.64,3.84,3.65
Total Common Shares Outstanding,76.23,76.15,5.22,3.84,3.65
Working Capital,642.65,732.84,179.87,131.78,52.43
Book Value Per Share,8.79,9.63,-23.57,-20.22,-11.67
Tangible Book Value,670.36,733.38,-123.1,-77.69,-42.62
Tangible Book Value Per Share,8.79,9.63,-23.57,-20.22,-11.67
