Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
Revenue,"1,066",807.83,595.27,608.18,27.11,3.98,Upgrade
Revenue Growth (YoY),45.86%,35.71%,-2.12%,2143.30%,581.87%,-13.38%,Upgrade
Cost of Revenue,"2,109","1,731","1,936","1,646",154.9,3.07,Upgrade
Gross Profit,"-1,043",-923.11,"-1,341","-1,038",-127.79,0.91,Upgrade
"Selling, General & Admin",996.02,900.95,797.24,734.57,652.48,89.02,Upgrade
Research & Development,"1,131","1,176",937.01,821.51,750.19,511.11,Upgrade
Operating Expenses,"2,127","2,077","1,734","1,556","1,403",600.13,Upgrade
Operating Income,"-3,170","-3,001","-3,075","-2,594","-1,530",-599.23,Upgrade
Interest Expense,-71.47,-32.92,-24.92,-30.6,-1.37,-0.06,Upgrade
Interest & Investment Income,189,213.03,204.27,56.76,-,-,Upgrade
Currency Exchange Gain (Loss),-0.6,-0.6,2.3,-,-,-,Upgrade
Other Non Operating Income (Expenses),665.4,171.63,84.54,"1,264","-1,045",-120.28,Upgrade
EBT Excluding Unusual Items,"-2,388","-2,649","-2,809","-1,304","-2,577",-719.57,Upgrade
Merger & Restructuring Charges,-,-20.3,-24.55,-,-2.72,-,Upgrade
Gain (Loss) on Sale of Investments,-13.49,-43.06,6,-,-,-,Upgrade
Pretax Income,"-2,285","-2,713","-2,827","-1,304","-2,580",-719.57,Upgrade
Income Tax Expense,-3.51,1.2,1.03,0.38,0.05,-0.19,Upgrade
Net Income,"-2,281","-2,714","-2,828","-1,304","-2,580",-719.38,Upgrade
Preferred Dividends & Other Adjustments,860.56,347.61,-,-,"2,167",-13.78,Upgrade
Net Income to Common,"-3,142","-3,062","-2,828","-1,304","-4,747",-705.6,Upgrade
Shares Outstanding (Basic),301,245,208,168,74,2,Upgrade
Shares Outstanding (Diluted),301,245,208,169,74,2,Upgrade
Shares Change (YoY),30.64%,17.46%,22.95%,128.70%,2882.34%,20.54%,Upgrade
EPS (Basic),-10.42,-12.52,-13.59,-7.77,-64.12,-284.22,Upgrade
EPS (Diluted),-10.77,-12.52,-13.60,-15.11,-64.12,-284.22,Upgrade
Free Cash Flow,"-3,383","-2,904","-3,400","-3,301","-1,479","-1,030",Upgrade
Free Cash Flow Per Share,-11.22,-11.87,-16.33,-19.50,-19.98,-414.80,Upgrade
Gross Margin,-97.91%,-114.27%,-225.24%,-170.66%,-,22.79%,Upgrade
Operating Margin,-297.50%,-371.43%,-516.58%,-426.52%,-5645.11%,-15071.10%,Upgrade
Profit Margin,-294.86%,-378.98%,-475.15%,-214.48%,-17509.84%,-17746.38%,Upgrade
Free Cash Flow Margin,-317.49%,-359.42%,-571.24%,-542.78%,-5456.65%,-25899.85%,Upgrade
EBITDA,"-2,750","-2,705","-2,842","-2,407","-1,468",-589.01,Upgrade
D&A For EBITDA,419.98,295.34,233.53,186.58,62.91,10.22,Upgrade
EBIT,"-3,170","-3,001","-3,075","-2,594","-1,530",-599.23,Upgrade
Advertising Expenses,-,49.8,35.3,-,-,-,Upgrade
