Period Ending,"Nov '25Nov 6, 2025","May '25May 31, 2025","Mar '25Mar 31, 2025","May '24May 31, 2024","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023"
Market Capitalization,"3,859","1,237","2,040",-,-,-
Market Cap Growth,-,-39.34%,-,-,-,-
Enterprise Value,"3,722","1,252","2,054",-,-,-
Last Close Price,20.00,6.73,11.09,-,-,-
PS Ratio,1825.51,606.34,999.48,-,-,-
PB Ratio,817.29,271.46,447.47,-,-,-
P/TBV Ratio,817.29,271.46,447.47,-,-,-
EV/Sales Ratio,1824.11,613.41,1006.55,-,-,-
Debt / Equity Ratio,0.05,0.05,0.05,-0.73,-0.73,-1.04
Asset Turnover,0.56,0.56,0.56,-,1.01,-
Quick Ratio,3.54,3.54,2.86,0.04,0.03,0.48
Current Ratio,3.79,3.79,3.79,0.04,0.04,0.50
Return on Assets (ROA),-83.18%,-83.18%,-142.46%,-,-389.00%,-
Earnings Yield,-0.14%,-0.42%,-0.26%,-,-,-
Buyback Yield / Dilution,-65.31%,9.98%,-83.63%,20.30%,-26.09%,-
