Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
Cash & Equivalents,476.9,368.1,323.71,300.64,403.26,186.69,Upgrade
Cash & Short-Term Investments,476.9,368.1,323.71,300.64,403.26,186.69,Upgrade
Cash Growth,46.99%,13.71%,7.67%,-25.45%,116.00%,2.38%,Upgrade
Accounts Receivable,307.51,193.97,379.42,191.4,67.22,50.73,Upgrade
Other Receivables,-,19.06,18.41,6.53,-,-,Upgrade
Receivables,307.51,213.02,397.83,199.98,67.22,50.73,Upgrade
Prepaid Expenses,51.17,24.56,11.74,10.75,17.05,6.35,Upgrade
Restricted Cash,-,0.66,0.77,-,-,-,Upgrade
Other Current Assets,245.84,291.18,198.07,158.06,120.03,101.56,Upgrade
Total Current Assets,"1,081",897.51,932.12,669.42,607.55,345.33,Upgrade
"Property, Plant & Equipment",66.02,44.57,25.54,20.22,14.55,15.28,Upgrade
Goodwill,54.94,54.94,54.94,-,-,-,Upgrade
Other Intangible Assets,4.21,10.46,16.64,-,-,-,Upgrade
Long-Term Deferred Tax Assets,-,2.49,3.17,2.23,-,-,Upgrade
Long-Term Deferred Charges,-,0.8,1.2,1.19,0.5,-,Upgrade
Other Long-Term Assets,7.09,2.1,2.71,2.9,3.06,2.38,Upgrade
Total Assets,"1,214","1,013","1,036",695.95,625.66,362.99,Upgrade
Accounts Payable,32.19,16.16,35.05,6.79,1.21,4.26,Upgrade
Accrued Expenses,123.26,73.23,61.24,55.44,44.63,19.79,Upgrade
Short-Term Debt,2.72,2.47,2.48,-,-,80,Upgrade
Current Portion of Leases,4.52,4.75,6.03,3.52,3.24,2.96,Upgrade
Current Income Taxes Payable,-,5.89,9.26,2.29,-,-,Upgrade
Other Current Liabilities,213.38,226.52,252.77,141.1,92.54,74.77,Upgrade
Total Current Liabilities,376.06,329.01,366.84,209.14,141.62,181.78,Upgrade
Long-Term Debt,-,-,130,-,-,-,Upgrade
Long-Term Leases,28.25,9.07,4.48,5.67,2.91,4.01,Upgrade
Other Long-Term Liabilities,12.21,9.32,5.65,1.05,0.81,0.83,Upgrade
Total Liabilities,416.52,347.4,506.97,215.87,145.34,186.61,Upgrade
Common Stock,0.02,0.02,0.02,0.02,0.02,0,Upgrade
Additional Paid-In Capital,"1,295","1,195","1,020",854.28,739.5,8.77,Upgrade
Retained Earnings,-501.56,-528.28,-491.3,-373.46,-259.44,-220.69,Upgrade
Comprehensive Income & Other,3.7,-1.66,0.34,-0.74,0.25,0.59,Upgrade
Total Common Equity,797.17,665.47,529.34,480.09,480.33,-211.33,Upgrade
Shareholders' Equity,797.17,665.47,529.34,480.09,480.33,176.38,Upgrade
Total Liabilities & Equity,"1,214","1,013","1,036",695.95,625.66,362.99,Upgrade
Total Debt,35.49,16.29,142.99,9.2,6.15,86.97,Upgrade
Net Cash (Debt),441.41,351.81,180.72,291.44,397.12,99.73,Upgrade
Net Cash Growth,42.05%,94.67%,-37.99%,-26.61%,298.20%,-22.89%,Upgrade
Net Cash Per Share,2.09,1.81,1.00,1.74,6.54,4.65,Upgrade
Filing Date Shares Outstanding,209.05,200.61,188.51,174.19,166.08,24.29,Upgrade
Total Common Shares Outstanding,209.33,200.53,188.44,173.25,164.24,24.29,Upgrade
Working Capital,705.37,568.51,565.28,460.28,465.94,163.56,Upgrade
Book Value Per Share,3.81,3.32,2.81,2.77,2.92,-8.70,Upgrade
Tangible Book Value,738.02,600.07,457.76,480.09,480.33,-211.33,Upgrade
Tangible Book Value Per Share,3.53,2.99,2.43,2.77,2.92,-8.70,Upgrade
Machinery,-,11.29,11.17,8.23,6.15,4.81,Upgrade
Construction In Progress,-,7.67,-,0.72,0.53,-,Upgrade
Leasehold Improvements,-,8.72,8.08,7.04,6.66,6.61,Upgrade
